City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Sitka,57.0531,-135.33,49.89,81,90,11.5,US,1632791329
Kloulklubed,7.0419,134.2556,86.5,72,39,7.0,PW,1632791556
Port Alfred,-33.5906,26.891,62.15,84,100,17.52,ZA,1632791016
Machico,32.7,-16.7667,72.23,76,20,8.05,PT,1632791557
Tiksi,71.6872,128.8694,32.63,95,99,4.21,RU,1632791336
Hobart,-42.8794,147.3294,60.12,59,75,1.01,AU,1632791261
Larsnes,62.2028,5.5773,59.68,84,100,17.47,NO,1632791557
Bluff,-46.6,168.3333,56.8,66,89,12.75,NZ,1632791269
Riyadh,24.6877,46.7219,71.74,16,96,9.37,SA,1632791310
Sukhobezvodnoye,57.0491,44.8891,34.39,95,12,7.14,RU,1632791558
Nikolskoye,59.7035,30.7861,44.87,95,0,2.93,RU,1632791251
Lebu,-37.6167,-73.65,48.31,82,98,14.45,CL,1632791292
Saint Paul Harbor,57.79,-152.4072,45.59,53,100,4.27,US,1632791319
Santiago del Estero,-27.7951,-64.2615,76.8,30,0,7.96,AR,1632791351
Cabo San Lucas,22.8909,-109.9124,86.5,70,1,6.91,MX,1632791283
Plácido de Castro,-10.3353,-67.1856,80.92,57,5,2.55,BR,1632791559
Mataura,-46.1927,168.8643,56.48,40,66,4.88,NZ,1632791260
Touros,-5.1989,-35.4608,77.9,85,42,16.35,BR,1632791416
Petropavlovsk-Kamchatskiy,53.0452,158.6483,57.79,47,20,6.71,RU,1632791451
Saint George,37.1041,-113.5841,90.07,33,1,1.01,US,1632791282
Carnarvon,-24.8667,113.6333,69.87,52,41,10.36,AU,1632791286
Atambua,-9.1061,124.8925,85.23,46,8,1.21,ID,1632791560
Shakawe,-18.3667,21.85,66.36,21,0,5.7,BW,1632791560
Kuytun,54.3419,101.5036,33.89,84,99,12.28,RU,1632791339
Avarua,-21.2078,-159.775,80.65,74,75,10.36,CK,1632791268
Bugiri,0.5714,33.7417,64.18,89,59,3.42,UG,1632791561
Honolulu,21.3069,-157.8583,89.42,64,20,1.99,US,1632791233
Oltu,40.5498,42.0013,47.37,80,0,1.79,TR,1632791561
Lompoc,34.6391,-120.4579,69.85,89,90,9.22,US,1632791313
Clyde River,70.4692,-68.5914,27.63,88,23,12.26,CA,1632791445
Dikson,73.5069,80.5464,34.9,86,100,20.31,RU,1632791435
Kapaa,22.0752,-159.319,85.98,75,20,5.99,US,1632791267
Shingū,33.7333,135.9833,72.82,85,85,13.18,JP,1632791562
Albany,42.6001,-73.9662,69.67,84,100,5.86,US,1632791025
Bethel,41.3712,-73.414,72.57,72,1,3.44,US,1632791193
Talnakh,69.4865,88.3972,31.91,57,100,1.28,RU,1632791563
Humberto de Campos,-2.5983,-43.4611,76.96,86,62,5.41,BR,1632791473
Port Hardy,50.6996,-127.4199,51.98,93,75,10.36,CA,1632791270
Hambantota,6.1241,81.1185,80.67,76,97,20.4,LK,1632791563
Raudeberg,61.9875,5.1352,57.2,91,100,5.99,NO,1632791563
Severo-Kuril'sk,50.6789,156.125,51.12,80,99,9.4,RU,1632791321
Sinjai,-5.1241,120.253,83.32,70,78,6.53,ID,1632791564
Coyhaique,-45.5752,-72.0662,44.55,65,40,3.44,CL,1632791271
Saint-Pierre,-21.3393,55.4781,69.44,75,20,5.75,RE,1632791565
Iowa City,41.6611,-91.5302,77.65,61,1,0.0,US,1632791507
Upernavik,72.7868,-56.1549,25.07,57,73,4.14,GL,1632791317
Araçuaí,-16.8497,-42.0703,75.11,61,7,5.97,BR,1632791565
Marawi,7.9986,124.2928,76.64,60,79,2.15,PH,1632791332
Hoshcha,50.6003,26.6744,41.18,91,0,6.35,UA,1632791416
Ushuaia,-54.8,-68.3,40.66,87,75,17.27,AR,1632791248
Coahuayana Viejo,18.7333,-103.6833,79.27,87,100,2.62,MX,1632791566
New Norfolk,-42.7826,147.0587,59.76,60,100,1.01,AU,1632791265
La Ronge,55.1001,-105.2842,55.92,71,0,7.09,CA,1632791357
Sestri Levante,44.2732,9.3968,71.06,88,12,1.99,IT,1632791566
Ngora,1.4314,33.7772,65.01,87,92,2.06,UG,1632791567
Bourail,-21.5667,165.4833,73.06,58,90,10.42,NC,1632791567
Lianran,24.9227,102.485,65.32,77,5,2.35,CN,1632791568
Tura,25.5198,90.2201,76.15,87,36,2.71,IN,1632791454
Port Elizabeth,-33.918,25.5701,61.11,84,72,14.97,ZA,1632791148
Rafai,4.95,23.9167,67.39,99,91,1.9,CF,1632791568
El Cobre,20.0489,-75.9469,83.64,74,20,5.75,CU,1632791459
Marbella,36.5154,-4.8858,66.07,75,54,1.95,ES,1632791569
Siocon,7.7061,122.1353,84.69,74,82,2.26,PH,1632791569
Tuktoyaktuk,69.4541,-133.0374,28.27,82,15,10.18,CA,1632791317
Las Palmas,28.4204,-14.0131,70.59,83,2,19.57,ES,1632791570
Eureka,40.8021,-124.1637,61.2,92,100,5.01,US,1632791314
Zadonsk,52.3904,38.9261,48.34,90,100,9.71,RU,1632791570
Sur,22.5667,59.5289,83.93,62,100,6.87,OM,1632791435
Makkah al Mukarramah,21.4267,39.8261,86.4,43,98,5.41,SA,1632791298
Bubaque,11.2833,-15.8333,82.71,77,100,12.3,GW,1632791414
Kutum,14.2,24.6667,77.4,51,100,3.44,SD,1632791266
Cabedelo,-6.9811,-34.8339,75.87,85,54,16.93,BR,1632791396
Vardø,70.3705,31.1107,48.67,89,93,16.87,NO,1632791277
Douglas,41.3,-96.167,80.58,61,1,1.01,US,1632791253
Pangnirtung,66.1451,-65.7125,32.83,66,100,1.36,CA,1632791457
Cabudare,10.0289,-69.0894,74.43,90,8,3.76,VE,1632791572
Buchanan,5.8808,-10.0467,75.16,86,100,5.01,LR,1632791572
Bozoum,6.3193,16.3799,67.15,96,100,1.61,CF,1632791572
Kattivākkam,13.2167,80.3167,80.69,69,100,15.46,IN,1632791573
Rocha,-34.4833,-54.3333,55.58,98,100,5.23,UY,1632791283
Vanimo,-2.6741,141.3028,85.19,66,99,7.05,PG,1632791573
East London,-33.0153,27.9116,64.63,76,100,17.76,ZA,1632791152
Brownsville,25.9018,-97.4975,86.11,75,1,5.01,US,1632791574
Praia da Vitória,38.7333,-27.0667,67.75,90,98,13.73,PT,1632791409
Ribeira Grande,38.5167,-28.7,70.23,81,97,11.72,PT,1632791277
Nivala,63.9167,24.9667,42.69,94,26,4.83,FI,1632791370
Ilulissat,69.2167,-51.1,23.02,36,0,8.05,GL,1632791367
Castle Bruce,15.4333,-61.2667,81.07,80,5,7.2,DM,1632791574
Dwārka,22.2394,68.9678,82.45,79,84,5.97,IN,1632791575
Flin Flon,54.7682,-101.865,56.16,69,0,6.17,CA,1632791296
Coolum Beach,-26.5333,153.1,70.11,57,100,8.55,AU,1632791575
Pangkalanbuun,-2.6833,111.6167,81.86,80,43,3.83,ID,1632791575
Henties Bay,-22.116,14.2845,56.86,89,100,6.49,NA,1632791576
Zhigansk,66.7697,123.3711,36.21,76,100,27.02,RU,1632791390
Evensk,61.95,159.2333,45.14,44,100,4.21,RU,1632791366
Jardim,-21.4803,-56.1381,82.6,33,53,2.75,BR,1632791159
San Cristobal,7.7669,-72.225,75.38,97,67,3.47,VE,1632791196
Apátfalva,46.1667,20.5833,61.23,70,77,3.78,HU,1632791577
Xinzhi,36.4989,111.7047,63.97,83,100,4.54,CN,1632791577
Saskylakh,71.9167,114.0833,26.46,89,19,8.7,RU,1632791314
Kavieng,-2.5744,150.7967,85.19,67,79,9.28,PG,1632791291
Hongjiang,27.11,109.9956,84.27,66,0,2.01,CN,1632791577
Haines Junction,60.7522,-137.5108,36.64,74,100,3.42,CA,1632791443
Huilong,31.8111,121.655,83.98,80,37,3.89,CN,1632791578
Rawson,-43.3002,-65.1023,54.14,39,31,4.43,AR,1632791308
Ventspils,57.3894,21.5606,42.73,100,0,4.61,LV,1632791361
Meiktila,20.8667,95.8667,76.15,86,97,2.98,MM,1632791288
Tasiilaq,65.6145,-37.6368,37.56,59,1,6.49,GL,1632791265
Ugoofaaru,5.6667,73.0,78.49,84,100,17.11,MV,1632791579
Jumla,29.2747,82.1838,58.41,88,18,2.93,NP,1632791579
Tual,-5.6667,132.75,81.05,82,60,13.96,ID,1632791579
Honiara,-9.4333,159.95,83.48,76,80,3.56,SB,1632791514
Deputatsky,69.3,139.9,24.64,66,94,6.02,RU,1632791317
Halden,59.1226,11.3871,56.61,92,100,12.28,NO,1632791580
Hofn,64.2539,-15.2082,41.76,68,100,20.22,IS,1632791580
Calvinia,-31.4707,19.776,43.9,85,55,5.28,ZA,1632791580
Tricase,39.9304,18.3553,70.83,74,78,6.04,IT,1632791581
Portland,45.5234,-122.6762,60.57,91,40,3.0,US,1632791037
Snyder,32.7179,-100.9176,80.94,39,1,6.91,US,1632791581
Tālbahat,25.05,78.4333,76.48,92,72,7.56,IN,1632791582
Jaisalmer,26.9147,70.9181,86.76,59,100,8.77,IN,1632791582
Bambous Virieux,-20.3428,57.7575,69.22,72,100,14.45,MU,1632791276
Ovalle,-30.5983,-71.2003,66.36,41,0,1.54,CL,1632791583
Korhogo,9.45,-5.6333,70.21,91,20,3.58,CI,1632791583
Vao,-22.6667,167.4833,68.14,71,25,9.69,NC,1632791321
Pacific Grove,36.6177,-121.9166,74.16,87,40,1.99,US,1632791394
Anadyr,64.75,177.4833,36.1,87,90,8.95,RU,1632791323
Lorengau,-2.0226,147.2712,85.5,65,73,8.19,PG,1632791433
Katsuura,35.1333,140.3,76.1,69,97,14.18,JP,1632791295
Arraial do Cabo,-22.9661,-42.0278,71.22,90,4,19.46,BR,1632791108
Banjar,-8.19,114.9675,82.26,68,42,5.44,ID,1632791584
San Juan,-31.5375,-68.5364,72.73,28,0,10.98,AR,1632791584
Flinders,-34.5833,150.8552,72.05,61,34,4.0,AU,1632791342
Tangzhai,34.4328,116.5911,70.59,90,100,5.88,CN,1632791585
Zonguldak,41.25,31.8333,48.47,90,0,3.42,TR,1632791585
Poum,-20.2333,164.0167,71.47,72,71,10.04,NC,1632791379
Sioux Lookout,50.1001,-91.917,50.81,62,56,4.9,CA,1632791586
Velizh,55.6056,31.1967,45.72,91,100,4.52,RU,1632791586
Changji,44.0167,87.3167,59.79,25,0,4.47,CN,1632791586
Chui,-33.6971,-53.4616,57.25,96,100,7.18,UY,1632791286
Esperance,-33.8667,121.9,58.84,79,86,16.75,AU,1632791587
Ajdabiya,30.7554,20.2263,70.9,73,1,7.7,LY,1632791587
Phonhong,18.5007,102.4166,78.62,88,35,2.44,LA,1632791587
Lüderitz,-26.6481,15.1594,55.47,79,2,19.19,NA,1632791288
Brae,60.3964,-1.353,51.71,82,0,23.31,GB,1632791588
Sora,41.7157,13.6141,69.04,87,86,3.47,IT,1632791588
San José del Guaviare,2.5729,-72.6459,75.69,86,52,2.1,CO,1632791589
Adrar,20.5022,-10.0711,89.02,11,0,1.86,MR,1632791589
Dauphin,51.1494,-100.0502,68.58,43,35,8.95,CA,1632791589
Lyubech,51.7026,30.6569,42.06,94,7,5.59,UA,1632791590
Hong Kong,22.2855,114.1577,86.38,79,4,1.01,HK,1632791103
Kruisfontein,-34.0033,24.7314,58.89,84,100,14.14,ZA,1632791338
Muroto-misakicho,33.2833,134.15,75.54,78,100,19.04,JP,1632791391
Barrow,71.2906,-156.7887,30.22,80,90,11.5,US,1632791263
Mahébourg,-20.4081,57.7,69.26,73,94,14.34,MU,1632791268
Marabu,4.4148,114.0089,81.1,81,34,3.65,MY,1632791591
Kanhangad,12.3081,75.1063,77.95,88,100,8.75,IN,1632791591
Klaksvík,62.2266,-6.589,45.52,86,100,11.27,FO,1632791328
Bredasdorp,-34.5322,20.0403,46.27,90,0,6.51,ZA,1632791245
Tuatapere,-46.1333,167.6833,56.82,56,92,5.46,NZ,1632791264
Elizabethton,36.3487,-82.2107,67.6,84,20,0.0,US,1632791313
Verbilki,56.5333,37.6,47.07,88,100,8.63,RU,1632791592
Port Blair,11.6667,92.75,80.47,82,93,4.16,IN,1632791264
Yatou,37.15,122.3833,71.33,92,98,15.77,CN,1632791593
Berehove,48.2056,22.6442,61.07,82,46,3.85,UA,1632791593
Dingle,10.9995,122.6711,83.16,77,100,3.49,PH,1632791283
Dunmore Town,25.5,-76.65,81.66,73,0,16.44,BS,1632791475
Paraíso,9.8383,-83.8656,67.06,85,100,2.3,CR,1632791594
Linxia Chengguanzhen,35.6003,103.2064,59.2,49,0,2.15,CN,1632791594
Ossora,59.2353,163.0719,45.25,60,100,2.8,RU,1632791594
Longyearbyen,78.2186,15.6401,33.64,93,75,5.75,SJ,1632791342
Perrysburg,41.557,-83.6272,73.0,72,1,0.0,US,1632791343
Loano,44.133,8.2513,71.29,88,25,4.0,IT,1632791595
Xining,36.6167,101.7667,53.85,59,0,1.77,CN,1632791595
São Francisco,-15.9486,-44.8644,79.12,31,53,4.94,BR,1632791595
Fort Nelson,58.8053,-122.7002,40.59,100,90,4.61,CA,1632791336
Waingapu,-9.6567,120.2641,85.15,60,84,8.34,ID,1632791596
Socorro,31.6546,-106.3033,79.81,34,20,11.5,US,1632791596
Kosh-Agach,50.0,88.6667,28.04,62,100,1.01,RU,1632791597
Airai,-8.9266,125.4092,77.05,33,16,3.11,TL,1632791281
Temple,31.0982,-97.3428,84.58,47,1,1.01,US,1632791597
Stuttgart,48.7823,9.177,63.03,89,40,12.66,DE,1632791598
Alofi,-19.0595,-169.9187,76.86,77,10,14.81,NU,1632791414
La Asuncion,11.0333,-63.8628,80.51,83,60,5.79,VE,1632791599
Maceió,-9.6658,-35.7353,80.04,78,75,8.05,BR,1632791527
Piaçabuçu,-10.4056,-36.4344,74.84,80,82,9.66,BR,1632791599
Shetpe,44.1667,52.1167,52.86,70,4,10.18,KZ,1632791600
Torbay,47.6666,-52.7314,60.28,92,0,5.99,CA,1632791199
Lebedyn,50.5852,34.4849,41.99,96,38,6.87,UA,1632791600
Novikovo,51.1537,37.8879,47.75,88,100,8.79,RU,1632791600
Grand Gaube,-20.0064,57.6608,69.39,75,100,5.01,MU,1632791282
Tibiri,13.5627,7.0485,83.25,40,5,6.44,NE,1632791601
Guilin,25.2819,110.2864,83.14,72,6,0.76,CN,1632791601
Chapais,49.7834,-74.8492,44.38,93,100,9.6,CA,1632791405
Yangi Marg`ilon,40.4272,71.7189,59.72,51,0,2.3,UZ,1632791330
Alta Floresta,-9.8756,-56.0861,69.8,97,92,3.36,BR,1632791365
Fairbanks,64.8378,-147.7164,40.96,69,75,0.0,US,1632791104
Belmonte,-15.8631,-38.8828,75.7,86,31,7.05,BR,1632791602
Río Cuarto,-33.1307,-64.3499,46.83,77,25,10.09,AR,1632791603
Charter Township of Clinton,42.587,-82.9199,73.47,79,75,1.01,US,1632791603
Leshukonskoye,64.8989,45.7622,41.13,96,100,4.23,RU,1632791603
Solnechnyy,50.7214,136.6319,64.74,60,8,3.56,RU,1632791604
Kaitangata,-46.2817,169.8464,59.94,39,73,1.77,NZ,1632791274
Saint-Philippe,-21.3585,55.7679,69.35,74,27,13.38,RE,1632791271
Bandarbeyla,9.4942,50.8122,76.96,87,76,17.52,SO,1632791380
Thompson,55.7435,-97.8558,50.32,66,84,6.73,CA,1632791278
Kollegāl,12.15,77.1167,70.99,78,100,8.77,IN,1632791605
Lázaro Cárdenas,17.9583,-102.2,80.73,78,100,2.39,MX,1632791605
Khatanga,71.9667,102.5,27.79,74,98,7.65,RU,1632791290
Pratāpgarh,24.0333,74.7833,74.23,93,93,8.37,IN,1632791606
Bukachacha,52.9833,116.9167,40.21,57,88,0.94,RU,1632791606
Lucapa,-8.4192,20.7447,64.85,94,100,2.44,AO,1632791607
Baharly,38.4362,57.4316,60.69,59,0,4.43,TM,1632791607
Ichinohe,40.2069,141.3017,68.16,59,100,5.32,JP,1632791607
Simões,-7.5989,-40.8178,80.11,43,38,10.0,BR,1632791472
Korsakov,46.6328,142.7813,64.24,83,100,13.96,RU,1632791608
Azamgarh,26.06,83.1861,79.79,85,4,5.99,IN,1632791608
Balaipungut,1.05,101.2833,79.21,90,94,2.06,ID,1632791381
Bagdarin,54.4333,113.6,36.28,54,100,4.94,RU,1632791608
Narsaq,60.9167,-46.05,30.54,44,0,2.59,GL,1632791285
Goderich,43.7501,-81.7165,61.92,84,100,14.81,CA,1632791609
Labuhan,-6.8844,112.2051,81.95,66,79,8.3,ID,1632791609
Bilāspur,22.0833,82.15,75.24,93,61,8.95,IN,1632791610
Marhaura,25.9667,84.8667,76.93,84,22,5.23,IN,1632791610
Arnprior,45.4334,-76.3494,58.78,93,40,8.21,CA,1632791610
Changping,40.2186,116.2197,67.51,87,100,4.0,CN,1632791611
Bahía Solano,6.2262,-77.4044,78.89,89,100,5.1,CO,1632791611
Ponta do Sol,32.6667,-17.1,72.23,68,50,3.62,PT,1632791438
São João da Barra,-21.6403,-41.0511,72.68,88,100,15.28,BR,1632791392
Kisangani,0.5167,25.2,68.41,98,86,1.01,CD,1632791612
Campbellton,48.0075,-66.6727,53.85,91,96,4.52,CA,1632791612
Abhar,36.1468,49.218,54.84,53,0,3.53,IR,1632791612
San Mateo del Mar,16.2,-95.0,83.91,74,84,2.71,MX,1632791613
Najrān,17.4924,44.1277,71.8,22,5,4.0,SA,1632791424
Alyangula,-13.8483,136.4192,83.07,68,37,9.17,AU,1632791613
Quixadá,-4.9714,-39.0153,78.66,73,6,7.18,BR,1632791613
Coquimbo,-29.9533,-71.3436,56.93,88,0,3.44,CL,1632791407
Bull Savanna,17.8868,-77.5902,78.67,78,28,0.6,JM,1632791614
Hithadhoo,-0.6,73.0833,82.8,74,100,16.02,MV,1632791390
Am Timan,11.0297,20.2827,75.85,81,100,1.1,TD,1632791614
Chibombo,-14.6569,28.0706,69.82,43,100,4.94,ZM,1632791615
São José de Ribamar,-2.5619,-44.0542,80.98,80,2,12.39,BR,1632791615
Rio Verde de Mato Grosso,-18.9181,-54.8442,84.24,37,18,4.61,BR,1632791615
Vysokogornyy,50.1167,139.15,54.09,97,100,3.02,RU,1632791616
Imbituba,-28.24,-48.6703,70.83,93,4,11.7,BR,1632791616
Usinsk,65.9939,57.5281,35.98,93,100,13.4,RU,1632791616
College,64.8569,-147.8028,40.95,69,75,0.0,US,1632791329
Saint-Augustin,51.226,-58.6502,50.88,86,0,14.72,CA,1632791617
Saravan,39.7196,45.6483,48.85,48,0,6.42,AM,1632791617
Chunskiy,56.0815,99.6342,33.4,97,100,7.09,RU,1632791618
Psebay,44.1234,40.8107,47.03,93,50,3.29,RU,1632791618
Santa Cruz de la Sierra,-17.8,-63.1667,80.06,65,0,5.75,BO,1632791357
Menongue,-14.6585,17.691,63.82,32,63,4.65,AO,1632791618
Murgab,37.4966,61.9714,59.2,47,0,7.87,TM,1632791619
Souillac,-20.5167,57.5167,70.36,77,75,13.49,MU,1632791374
Olafsvik,64.8945,-23.7142,38.73,82,86,15.46,IS,1632791310
Pierre,44.3683,-100.351,82.85,43,1,1.99,US,1632791619
Cayenne,4.9333,-52.3333,83.08,79,20,5.01,GF,1632791310
Alamosa,37.4695,-105.87,53.11,87,75,10.36,US,1632791362
Ridgecrest,35.6225,-117.6709,85.86,23,90,4.0,US,1632791582
Benavente,42.0025,-5.6783,61.88,71,49,5.37,ES,1632791620
Townsville,-19.25,146.8,79.68,61,20,18.41,AU,1632791620
Lata,40.1629,-8.3327,66.04,95,100,2.89,PT,1632791280
Ndélé,8.4109,20.6473,69.49,98,100,5.08,CF,1632791621
Naze,28.3667,129.4833,79.43,78,5,13.4,JP,1632791259
Hasaki,35.7333,140.8333,75.29,59,66,14.34,JP,1632791458
Vestmanna,62.1564,-7.1664,43.72,100,90,8.05,FO,1632791621
Bandar-e Lengeh,26.5579,54.8807,84.96,63,6,5.55,IR,1632791622
Whyalla,-33.0333,137.5833,73.29,40,40,10.36,AU,1632791622
Hailey,43.5196,-114.3153,66.9,21,1,0.0,US,1632791622
Fortuna,40.5982,-124.1573,60.93,73,90,0.0,US,1632791406
Ahtopol,42.1,27.95,61.27,78,67,8.84,BG,1632791623
Noumea,-22.2763,166.4572,78.78,70,38,13.65,NC,1632791623
Cape Coast,5.1053,-1.2466,76.59,88,94,7.99,GH,1632791623
Chokurdakh,70.6333,147.9167,24.73,82,98,17.56,RU,1632791320
Nocupétaro,19.05,-101.15,73.22,90,100,2.1,MX,1632791624
Songjianghe,42.1859,127.479,63.73,75,27,3.04,CN,1632791624
Biggar,55.6167,-3.5167,48.9,92,55,10.31,GB,1632791624
Hanko,59.8333,22.95,50.85,84,6,14.58,FI,1632791625
Yoichi,43.2039,140.7703,65.61,58,100,3.06,JP,1632791625
Rognan,67.0953,15.3878,60.94,91,35,12.28,NO,1632791626
Iqaluit,63.7506,-68.5145,31.69,77,100,5.99,CA,1632791279
Inhambane,-23.865,35.3833,70.81,86,100,8.48,MZ,1632791399
Kasempa,-13.4584,25.8338,67.1,49,26,2.01,ZM,1632791627
Semeykino,48.3264,39.5337,45.25,89,64,4.25,UA,1632791627
Kupang,-10.1667,123.5833,86.58,62,20,8.05,ID,1632791627
São José da Coroa Grande,-8.8978,-35.1478,75.43,84,36,12.95,BR,1632791628
Sept-Îles,50.2001,-66.3821,54.05,91,100,1.99,CA,1632791400
Yasothon,15.75,104.1333,79.86,83,8,3.56,TH,1632791628
Ambulu,-8.345,113.6058,80.22,68,16,4.79,ID,1632791629
Ambilobe,-13.2,49.05,74.25,63,99,5.21,MG,1632791629
Ketchikan,55.3422,-131.6461,51.78,97,100,3.29,US,1632791457
Padang,-0.9492,100.3543,78.85,79,56,2.37,ID,1632791411
Raton,36.9034,-104.4391,68.34,35,1,6.91,US,1632791437
Snezhnogorsk,69.1933,33.2531,35.38,89,86,8.55,RU,1632791630
Port Hedland,-20.3167,118.5667,80.65,17,100,14.97,AU,1632791413
Yerbogachën,61.2767,108.0108,35.08,82,100,12.39,RU,1632791630
Saurimo,-9.6608,20.3916,64.35,88,100,3.09,AO,1632791363
Dunedin,-45.8742,170.5036,52.97,50,57,5.41,NZ,1632791420
Marquard,-28.6645,27.4305,62.89,33,100,5.88,ZA,1632791631
Ancud,-41.8697,-73.8203,45.93,87,99,3.44,CL,1632791322
Marsh Harbour,26.5412,-77.0636,80.24,69,19,15.26,BS,1632791631
Nālūt,30.3333,10.85,76.32,22,0,8.63,LY,1632791328
Gizo Government Station,-8.103,156.8419,82.69,74,96,6.42,SB,1632791260
Pirovskoye,57.6267,92.2658,33.46,88,100,2.84,RU,1632791632
Hay River,60.8156,-115.7999,47.32,72,100,14.47,CA,1632791337
San Isidro,-12.1167,-77.05,61.25,92,0,1.01,PE,1632791632
Corinth,37.9407,22.9573,74.75,60,89,1.88,GR,1632791633
Ewing,40.2698,-74.7999,72.59,59,1,1.99,US,1632791633
Valdosta,30.8327,-83.2785,72.99,83,1,0.0,US,1632791369
Hailar,49.2,119.7,55.81,53,99,5.19,CN,1632791633
Ust-Kuyga,70.0167,135.6,25.68,98,50,4.88,RU,1632791281
Bridlington,54.0831,-0.1919,50.9,81,5,15.77,GB,1632791634
Sumenep,-7.0167,113.8667,83.48,64,22,8.01,ID,1632791635
Salihorsk,52.7876,27.5415,46.4,85,92,5.73,BY,1632791635
Guerrero Negro,27.9769,-114.0611,69.75,70,0,16.06,MX,1632791286
Sergeevka,53.88,67.4158,36.93,96,100,21.39,KZ,1632791424
Verkhnevilyuysk,63.4453,120.3167,36.39,74,72,10.02,RU,1632791636
Sabzawār,36.2126,57.6819,66.51,43,0,5.79,IR,1632791636
Jinchang,38.4953,102.1739,66.25,20,0,3.44,CN,1632791636
Port Lincoln,-34.7333,135.8667,68.07,46,55,3.91,AU,1632791429
Bousso,10.4795,16.7117,71.98,90,72,4.5,TD,1632791637
Bardsīr,29.9227,56.5743,62.46,17,0,4.14,IR,1632791637
Gáldar,28.147,-15.6502,72.7,80,59,16.04,ES,1632791637
Norman Wells,65.282,-126.8329,35.29,98,100,2.48,CA,1632791289
Kungurtug,50.5994,97.5228,20.19,79,98,1.83,RU,1632791638
Axum,14.1245,38.7244,57.54,77,54,2.35,ET,1632791638
Te Anau,-45.4167,167.7167,52.66,59,70,5.59,NZ,1632791278
Imeni Poliny Osipenko,52.4201,136.4853,62.1,56,0,6.51,RU,1632791639
Cidreira,-30.1811,-50.2056,66.38,92,1,14.27,BR,1632791252
Tautira,-17.7333,-149.15,84.22,75,26,14.2,PF,1632791639
Madimba,-10.4,40.3333,71.69,86,2,4.18,TZ,1632791639
Øksfjord,70.2396,22.3479,58.12,76,99,10.71,NO,1632791640
Shchebetovka,44.9333,35.15,52.9,62,3,6.62,UA,1632791640
Archidona,37.0965,-4.3887,62.58,42,89,2.44,ES,1632791640
